Start,End,Alert level
21/03/2020 13:30:00,23/03/2020 13:30:00,2
23/03/2020 13:30:00,25/03/2020 23:59:00,3
25/03/2020 23:59:00,27/04/2020 23:59:00,4
27/04/2020 23:59:00,13/05/2020 23:59:00,3
13/05/2020 23:59:00,8/6/2020 11:59,2
8/6/2020 11:59,12/8/2020 12:00,1
12/8/2020 12:00,30/08/2020 23:59:00,3
30/08/2020 23:59:00,7/10/2020 11:59,2
7/10/2020 11:59,14/02/2021 23:59:00,1
14/02/2021 23:59:00,17/02/2021 23:59,3
17/02/2021 23:59:00,22/02/2021 23:59,2
22/02/2021 23:59:00,28/02/2021 6:00,1
28/02/2021 6:00:00,7/3/2021 10:00,3
7/3/2021 10:00,12/3/2021 12:00,2
12/3/2021 12:00,17/08/2021 23:59,1
